City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,kashgar,39.4547,75.9797,21.56,43,0,4.0,CN,2024-09-07
318,fortuna,40.5982,-124.1573,16.07,91,100,0.0,US,2024-09-07
319,hafnarfjordur,64.0671,-21.9377,9.99,94,100,7.72,IS,2024-09-07
320,bath,51.3779,-2.3591,15.35,97,100,1.57,GB,2024-09-07
321,nouadhibou,20.931,-17.0347,20.99,88,100,3.09,MR,2024-09-07
322,vila franca do campo,37.7167,-25.4333,21.23,99,72,3.27,PT,2024-09-07
323,vilyuchinsk,52.9306,158.4028,20.15,48,17,10.34,RU,2024-09-07
324,qarazhal,48.0078,70.7903,8.71,69,15,3.03,KZ,2024-09-07
325,porto tolle,44.9497,12.3245,22.67,71,58,2.46,IT,2024-09-07
326,santa maria do para,-1.3503,-47.5756,23.0,91,7,2.58,BR,2024-09-07
327,sandpoint,48.2766,-116.5533,24.13,50,0,0.0,US,2024-09-07
328,salyan,39.5936,48.9805,20.58,61,5,3.57,AZ,2024-09-07
329,kavaratti,10.5669,72.642,27.51,77,100,6.49,IN,2024-09-07
330,luang prabang,19.8856,102.1347,28.64,74,100,0.63,LA,2024-09-07
331,mount pearl,47.5166,-52.7813,17.2,82,40,5.66,CA,2024-09-07
332,flin flon,54.7682,-101.865,13.32,43,87,3.49,CA,2024-09-07
333,vorkuta,67.5,64.0,6.91,95,100,6.47,RU,2024-09-07
334,malango,-2.9627,119.9001,26.37,68,87,1.84,ID,2024-09-07
335,utrik,11.2278,169.8474,28.51,76,12,5.05,MH,2024-09-07
336,el haouaria,37.05,11.0144,28.01,78,100,5.54,TN,2024-09-07
337,kelowna,49.8831,-119.4857,28.49,38,0,2.06,CA,2024-09-07
338,fort st. john,56.2499,-120.8529,23.94,33,75,6.17,CA,2024-09-07
339,laguna,38.421,-121.4238,36.37,22,0,3.6,US,2024-09-07
340,port moresby,-9.4431,147.1797,32.68,46,40,5.14,PG,2024-09-07
341,pineville,31.3224,-92.4343,22.18,85,100,3.6,US,2024-09-07
342,tolanaro,-25.0319,46.9987,19.94,92,9,1.73,MG,2024-09-07
343,sumbe,-11.2061,13.8437,20.46,91,68,1.73,AO,2024-09-07
